question_id,question_type,source_types,expected_doc_ids,n_unique_cands,rrf_pool_size,hit@10,rank@10,hit@20,rank@20,hit@30,rank@30,hit@40,rank@40,hit@50,rank@50,hit@60,rank@60,hit@70,rank@70,hit@80,rank@80,hit@90,rank@90,hit@100,rank@100,hit@120,rank@120,hit@150,rank@150,hit@180,rank@180,hit@200,rank@200,hit@500,rank@500,hit@750,rank@750,hit@1000,rank@1000
qst_0021,basic,confluence,dsid_d7f0edbaa28147da807b5b85ea495bd1,9280,9280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0022,basic,confluence,dsid_f2f019c122154edc8b21f56879661043,7986,7986,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
qst_0023,basic,confluence,dsid_a2983978ba0d4d70a795eb7e13de8670,9603,9603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0024,basic,jira,dsid_1d5a3cde61104276b218c05dc101a546,9105,9105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0025,basic,confluence,dsid_9c8cb10d65324c03a8ededbd98c1b058,9666,9666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0026,basic,gmail,dsid_c6a6396159964deeb021d646eaaf2b0c,8840,8840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0027,basic,gmail,dsid_214ba4ea822e4d328287194a5e27e632,9189,9189,0,,0,,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26
qst_0028,basic,slack,dsid_7c0157af909c4a6190e00e1fc6b92b73,8830,8830,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0029,basic,jira,dsid_429267fe79c74918a26272f6c0e48f10,9291,9291,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0030,basic,linear,dsid_54525a33e2d44d4a9b665feaf8fab624,9295,9295,0,,0,,0,,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31,1,31
qst_0031,basic,confluence,dsid_c198dbbcf28a4c73ad1d705809634176,8957,8957,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0032,basic,linear,dsid_39e191ec758c41a8adecd223951b8b93,8670,8670,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0033,basic,fireflies,dsid_05faa1ab6427403888a06d7083c7f0a9,9270,9270,0,,0,,0,,0,,0,,0,,1,61,1,61,1,61,1,61,1,61,1,61,1,61,1,61,1,61,1,61,1,61
qst_0034,basic,linear,dsid_1867cdf06a00437194b3250c75321a92,8192,8192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0035,basic,confluence,dsid_7c73cb76b80a41edb4959db4b1e7308b,9302,9302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0036,basic,linear,dsid_f94b93a4bc7948ddab45c371187dc6c6,9287,9287,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7
qst_0037,basic,jira,dsid_18621ce91fd14b408a2be95336bb4ab0,8598,8598,0,,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16
qst_0038,basic,fireflies,dsid_f4e0ec9fc27c4e52a55b34af90fcd1b0,9116,9116,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0039,basic,google_drive,dsid_f0567bbb5dbd4a52aef951e11ec13f2b,9131,9131,0,,0,,0,,0,,0,,1,55,1,55,1,55,1,55,1,55,1,55,1,55,1,55,1,55,1,55,1,55,1,55
qst_0040,basic,confluence,dsid_43ecb807903f46848e8d099b6c8beb04,9018,9018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0041,basic,fireflies,dsid_862bb899faac43feab4f92a12d320e7c,8946,8946,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0042,basic,hubspot,dsid_eea41d353de049aa89be98b6f9cf5de1,8608,8608,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0043,basic,slack,dsid_321eee6325824623833bbe754bf83a0b,8545,8545,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0044,basic,gmail,dsid_94f011e1d2d04c89a4edc1d68ed9d855,8735,8735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0045,basic,jira,dsid_a673ed031ece43c5bc4a0d27a284c8dc,8561,8561,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0046,basic,gmail,dsid_3be2b45196414cad9b187551da3ed448,9609,9609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0047,basic,google_drive,dsid_7a2cfe4b7e574e6995f33e64bbdbf426,9387,9387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0048,basic,linear,dsid_8412db85d95a45f7bbfb14dacedb4d8b,9324,9324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0049,basic,gmail,dsid_e04776cee2964731b96192cae88e9e6b,8821,8821,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0050,basic,google_drive,dsid_089917448e654911bd186650ed12feb9,9121,9121,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7
qst_0051,basic,slack,dsid_27bd877a9fb74bcaa4e93871f28f3f4d,9293,9293,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0052,basic,github,dsid_49215834c17d4f0c98d4ad11f62f0c9a,9032,9032,0,,0,,0,,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40,1,40
qst_0053,basic,slack,dsid_87ef890a0795443bb74815e8a6378405,9070,9070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0054,basic,google_drive,dsid_cfc80f61d84848c58d961b49d1b3a774,9770,9770,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0055,basic,gmail,dsid_27da22aa63b3446387fffc29b45a0883,9142,9142,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0056,basic,slack,dsid_42fcb5c1e0394276b37ecf4308e227ac,8250,8250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0057,basic,google_drive,dsid_4e89403dcf74496c8a8516bfd64e351f,9159,9159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0058,basic,gmail,dsid_a8f0c8524573431c9b789291d63b716a,8761,8761,0,,0,,0,,0,,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41
qst_0059,basic,jira,dsid_9a088141571b435f995568199ec4bcc9,9408,9408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0060,basic,linear,dsid_8381e16639f148c7863aa3d393cb64da,8322,8322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0061,basic,linear,dsid_2e5aaaa6db404ec19cb15a6f92be66a3,8134,8134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0062,basic,google_drive,dsid_702bc520c52040428799fed41c63c8ca,8694,8694,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0063,basic,hubspot,dsid_4b0f5e573e5e4ce8bbbcf370c3ea7eaa,9387,9387,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0064,basic,slack,dsid_d555b86d66ab43a48018e16e0ec90eb0,8391,8391,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,765
qst_0065,basic,jira,dsid_1eba87b0b11b4f31a006f0cf164b8509,8904,8904,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0066,basic,hubspot,dsid_8f5b801cebc34eb4b233bd0ef7c1b546,9562,9562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0067,basic,linear,dsid_14a447cb5b1140709c7cb3cc9a88c430,9057,9057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0068,basic,github,dsid_c7860fdbc17a48b0b6c5f9a0c5e3d054,9596,9596,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0069,basic,google_drive,dsid_6d38a7bff5c84270adff95742a3eebce,9281,9281,0,,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12
qst_0070,basic,fireflies,dsid_7d9551aa21124d70b0e247c390d88622,8995,8995,0,,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12
qst_0071,basic,linear,dsid_f3c46e1166f34b9c92a83034450fe021,8814,8814,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0072,basic,slack,dsid_0143493e1a514c28a39f1cf55744d37b,8934,8934,0,,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15
qst_0073,basic,gmail,dsid_a1e0ff30870f40d7b692aa27bbedc194,7637,7637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0074,basic,github,dsid_8779ac72d6504759b701178632772f6c,8284,8284,0,,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11
qst_0075,basic,github,dsid_caf02469a41c46cf8387713b83c628f3,8247,8247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0076,basic,jira,dsid_b097ab5d9e4c41609f47432dfcb1508b,8132,8132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0077,basic,github,dsid_88b39d13bd584ef8b1422d76994808c7,8539,8539,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0078,basic,linear,dsid_1a40ab782f8b4d80929a9668462912e2,8971,8971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0079,basic,google_drive,dsid_9776bd75ffbb4ca7b10669be1512daa3,9247,9247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0080,basic,jira,dsid_ad3961a5bbd846d09d101bfa951ab739,8972,8972,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0081,basic,linear,dsid_7a7c04eebb914edab49f734c8e814beb,8609,8609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0082,basic,fireflies,dsid_045c297ec2ef495abd66cb1f09921fc4,9424,9424,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,181,1,181,1,181,1,181
qst_0083,basic,jira,dsid_3b9483f629fd423d81ac49a7efff89c9,8147,8147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0084,basic,linear,dsid_7a094ff98c3b4c96a77f3949aedeb749,8881,8881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0085,basic,google_drive,dsid_2271ae6c393d409093b11b5a6d5b96ed,9295,9295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0086,basic,jira,dsid_3f4010bdd3c44b99bb1c1ad2326f5eda,8685,8685,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0087,basic,linear,dsid_d921e1d4282b45a7b4990e2366bedc05,8777,8777,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0088,basic,slack,dsid_e56d8d932da04590b336dbc60ad25f41,8762,8762,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0089,basic,github,dsid_426ca69578a84dd4af512e5a2782086e,8872,8872,0,,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12
qst_0090,basic,hubspot,dsid_4331f37f2b8d4e2cb0f5c5719a033e2f,9476,9476,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0091,basic,google_drive,dsid_9eda2ec9cbda4188936246d888df1d0b,8106,8106,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0092,basic,slack,dsid_fa7dba9ea186436281a953c7b376bf11,9455,9455,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,435,1,435,1,435
qst_0093,basic,hubspot,dsid_3bc3170ead63470eaef9a53ca835cec0,8885,8885,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,91,1,91,1,91,1,91,1,91,1,91,1,91,1,91
qst_0094,basic,google_drive,dsid_bec90d2205534ca9a016f244e13884e5,9404,9404,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0095,basic,linear,dsid_5fbf425415da4b7487f0ebbf289a39d6,9078,9078,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0096,basic,jira,dsid_8138b96e181940418cc5067b2630064e,9343,9343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0097,basic,github,dsid_6c58ddb8ecf543d89fca8352351dea29,9182,9182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0098,basic,gmail,dsid_c23a3d9d049d4fe79acf83653b564e0b,8989,8989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0099,basic,slack,dsid_fa2d9f0bda0e4d6b9174ae6b15f7b37e,9008,9008,0,,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15
qst_0100,basic,slack,dsid_94095ba27ce5414db28e599562c12908,8853,8853,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,260,1,260,1,260
qst_0101,basic,fireflies,dsid_e37e7b7723e34b8087ef051804bfe85e,9182,9182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0102,basic,confluence,dsid_e044274a9d184700bb8cdf9ddb6d9d02,9029,9029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0103,basic,github,dsid_47fa00c889fb4446b0481efea384a7ce,8882,8882,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0104,basic,confluence,dsid_005f7a937cad4b3cbb30d9d93199e22a,8723,8723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0105,basic,google_drive,dsid_c83811391709468fa9534e6495c205e3,9138,9138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0106,basic,linear,dsid_6f69a170c5ab486588cf0bd92e0d53db,9264,9264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0107,basic,hubspot,dsid_509b34ee9a334f68a693e61dfbf558c4,9704,9704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0108,basic,slack,dsid_a0e951c043154b07b1b5bd332ac47763,9025,9025,0,,0,,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24
qst_0109,basic,hubspot,dsid_c9e70cb6eee1471baba213a976a8dd05,9153,9153,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
qst_0110,basic,confluence,dsid_2e4183d040b341cf843366e2c15402af,9710,9710,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0111,basic,linear,dsid_bc47b415ef06458098e0c7a76a7e588c,9091,9091,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0112,basic,google_drive,dsid_d85fcb5f989b44f8a51723a07be79e45,8363,8363,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,115,1,115,1,115,1,115,1,115,1,115,1,115
qst_0113,basic,linear,dsid_c53d4b486a1e485186a7e4b9d1c3f3ef,8841,8841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0114,basic,gmail,dsid_ca11386edd264e5c841365093fedf640,8296,8296,0,,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12,1,12
qst_0115,basic,jira,dsid_b85f3628bbda46558141d3a935bce2c1,8555,8555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0116,basic,google_drive,dsid_48b40afb54b84af28b13cebf017c0616,9298,9298,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,468,1,468,1,468
qst_0117,basic,confluence,dsid_40e1a761f7644c388c1bccb73d6bd427,9553,9553,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7
qst_0118,basic,confluence,dsid_9a0982d498384adeb435a2b3938bfd76,9318,9318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0119,basic,linear,dsid_1d6c84263b40491988b1e7e98ccf4559,9295,9295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0120,basic,hubspot,dsid_cb58379b249f4e7dab5e716bbeb11b29,9697,9697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0121,basic,fireflies,dsid_e3ae91c7f83f46e492209ffec2c7f2b8,9352,9352,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0122,basic,google_drive,dsid_89e9c8a4822b471a8e132d6c2b188b80,9102,9102,0,,0,,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25
