question_id,question_type,source_types,expected_doc_ids,rrf_pool_size,rerank_returned,rerank_seconds,hit@10,rank@10,hit@20,rank@20,hit@30,rank@30,hit@40,rank@40,hit@50,rank@50,hit@60,rank@60,hit@70,rank@70,hit@80,rank@80,hit@90,rank@90,hit@100,rank@100,hit@120,rank@120,hit@150,rank@150,hit@180,rank@180,hit@200,rank@200,hit@500,rank@500,hit@750,rank@750,hit@1000,rank@1000
qst_0016,basic,confluence,dsid_ba7d1565b0694e359983bccaa4bf5977,2000,2000,3.287,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0017,basic,hubspot,dsid_03af1e44970d4d6db6e85bc2c5fce8de,2000,2000,2.772,0,,0,,0,,0,,0,,0,,0,,0,,1,81,1,81,1,81,1,81,1,81,1,81,1,81,1,81,1,81
qst_0018,basic,linear,dsid_1f81f208f51a4aacaca226109bbedc72,2000,2000,2.595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0019,basic,jira,dsid_e728a420a02a4ddcb125e6adb09d211e,2000,2000,2.566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0020,basic,github,dsid_1c53affffb4f477ca476bec3138b60eb,2000,2000,2.603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0021,basic,confluence,dsid_d7f0edbaa28147da807b5b85ea495bd1,2000,2000,3.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0022,basic,confluence,dsid_f2f019c122154edc8b21f56879661043,2000,2000,3.565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0023,basic,confluence,dsid_a2983978ba0d4d70a795eb7e13de8670,2000,2000,2.906,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0024,basic,jira,dsid_1d5a3cde61104276b218c05dc101a546,2000,2000,2.5,0,,0,,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25
qst_0025,basic,confluence,dsid_9c8cb10d65324c03a8ededbd98c1b058,2000,2000,3.092,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0026,basic,gmail,dsid_c6a6396159964deeb021d646eaaf2b0c,2000,2000,3.551,0,,0,,0,,0,,1,43,1,43,1,43,1,43,1,43,1,43,1,43,1,43,1,43,1,43,1,43,1,43,1,43
qst_0027,basic,gmail,dsid_214ba4ea822e4d328287194a5e27e632,2000,2000,3.174,0,,0,,0,,0,,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42
qst_0028,basic,slack,dsid_7c0157af909c4a6190e00e1fc6b92b73,2000,2000,2.095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0029,basic,jira,dsid_429267fe79c74918a26272f6c0e48f10,2000,2000,3.021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0030,basic,linear,dsid_54525a33e2d44d4a9b665feaf8fab624,2000,2000,2.819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0031,basic,confluence,dsid_c198dbbcf28a4c73ad1d705809634176,2000,2000,3.365,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0032,basic,linear,dsid_39e191ec758c41a8adecd223951b8b93,2000,2000,2.61,0,,0,,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29
qst_0033,basic,fireflies,dsid_05faa1ab6427403888a06d7083c7f0a9,2000,2000,3.979,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0034,basic,linear,dsid_1867cdf06a00437194b3250c75321a92,2000,2000,1.955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0035,basic,confluence,dsid_7c73cb76b80a41edb4959db4b1e7308b,2000,2000,3.424,0,,0,,0,,0,,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42,1,42
qst_0036,basic,linear,dsid_f94b93a4bc7948ddab45c371187dc6c6,2000,2000,3.146,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0037,basic,jira,dsid_18621ce91fd14b408a2be95336bb4ab0,2000,2000,2.135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0038,basic,fireflies,dsid_f4e0ec9fc27c4e52a55b34af90fcd1b0,2000,2000,3.691,0,,0,,0,,0,,1,46,1,46,1,46,1,46,1,46,1,46,1,46,1,46,1,46,1,46,1,46,1,46,1,46
qst_0039,basic,google_drive,dsid_f0567bbb5dbd4a52aef951e11ec13f2b,2000,2000,2.504,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0040,basic,confluence,dsid_43ecb807903f46848e8d099b6c8beb04,2000,2000,3.371,0,,0,,0,,0,,0,,0,,0,,0,,1,88,1,88,1,88,1,88,1,88,1,88,1,88,1,88,1,88
qst_0041,basic,fireflies,dsid_862bb899faac43feab4f92a12d320e7c,2000,2000,3.964,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0042,basic,hubspot,dsid_eea41d353de049aa89be98b6f9cf5de1,2000,2000,1.665,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0043,basic,slack,dsid_321eee6325824623833bbe754bf83a0b,2000,2000,2.587,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0044,basic,gmail,dsid_94f011e1d2d04c89a4edc1d68ed9d855,2000,2000,3.138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0045,basic,jira,dsid_a673ed031ece43c5bc4a0d27a284c8dc,2000,2000,3.525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0046,basic,gmail,dsid_3be2b45196414cad9b187551da3ed448,2000,2000,2.938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0047,basic,google_drive,dsid_7a2cfe4b7e574e6995f33e64bbdbf426,2000,2000,2.923,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0048,basic,linear,dsid_8412db85d95a45f7bbfb14dacedb4d8b,2000,2000,2.388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0049,basic,gmail,dsid_e04776cee2964731b96192cae88e9e6b,2000,2000,2.638,0,,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18
qst_0050,basic,google_drive,dsid_089917448e654911bd186650ed12feb9,2000,2000,2.069,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,368,1,368,1,368
qst_0051,basic,slack,dsid_27bd877a9fb74bcaa4e93871f28f3f4d,2000,2000,2.903,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0052,basic,github,dsid_49215834c17d4f0c98d4ad11f62f0c9a,2000,2000,2.569,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7
qst_0053,basic,slack,dsid_87ef890a0795443bb74815e8a6378405,2000,2000,3.526,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0054,basic,google_drive,dsid_cfc80f61d84848c58d961b49d1b3a774,2000,2000,2.776,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0055,basic,gmail,dsid_27da22aa63b3446387fffc29b45a0883,2000,2000,3.039,0,,0,,0,,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34,1,34
qst_0056,basic,slack,dsid_42fcb5c1e0394276b37ecf4308e227ac,2000,2000,2.627,0,,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15
qst_0057,basic,google_drive,dsid_4e89403dcf74496c8a8516bfd64e351f,2000,2000,2.665,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0058,basic,gmail,dsid_a8f0c8524573431c9b789291d63b716a,2000,2000,2.443,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,205,1,205,1,205
qst_0059,basic,jira,dsid_9a088141571b435f995568199ec4bcc9,2000,2000,2.464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0060,basic,linear,dsid_8381e16639f148c7863aa3d393cb64da,2000,2000,1.843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0061,basic,linear,dsid_2e5aaaa6db404ec19cb15a6f92be66a3,2000,2000,1.868,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0062,basic,google_drive,dsid_702bc520c52040428799fed41c63c8ca,2000,2000,2.334,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,247,1,247,1,247
qst_0063,basic,hubspot,dsid_4b0f5e573e5e4ce8bbbcf370c3ea7eaa,2000,2000,3.176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0064,basic,slack,dsid_d555b86d66ab43a48018e16e0ec90eb0,2000,2000,3.288,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,793
qst_0065,basic,jira,dsid_1eba87b0b11b4f31a006f0cf164b8509,2000,2000,3.061,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
qst_0066,basic,hubspot,dsid_8f5b801cebc34eb4b233bd0ef7c1b546,2000,2000,2.223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0067,basic,linear,dsid_14a447cb5b1140709c7cb3cc9a88c430,2000,2000,2.021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0068,basic,github,dsid_c7860fdbc17a48b0b6c5f9a0c5e3d054,2000,2000,3.931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0069,basic,google_drive,dsid_6d38a7bff5c84270adff95742a3eebce,2000,2000,2.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0070,basic,fireflies,dsid_7d9551aa21124d70b0e247c390d88622,2000,2000,2.47,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0071,basic,linear,dsid_f3c46e1166f34b9c92a83034450fe021,2000,2000,3.161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0072,basic,slack,dsid_0143493e1a514c28a39f1cf55744d37b,2000,2000,3.138,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0073,basic,gmail,dsid_a1e0ff30870f40d7b692aa27bbedc194,2000,2000,2.798,0,,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11
qst_0074,basic,github,dsid_8779ac72d6504759b701178632772f6c,2000,2000,2.599,0,,0,,0,,0,,0,,1,54,1,54,1,54,1,54,1,54,1,54,1,54,1,54,1,54,1,54,1,54,1,54
qst_0075,basic,github,dsid_caf02469a41c46cf8387713b83c628f3,2000,2000,2.688,0,,0,,0,,0,,0,,0,,0,,0,,1,88,1,88,1,88,1,88,1,88,1,88,1,88,1,88,1,88
qst_0076,basic,jira,dsid_b097ab5d9e4c41609f47432dfcb1508b,2000,2000,2.421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0077,basic,github,dsid_88b39d13bd584ef8b1422d76994808c7,2000,2000,2.319,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0078,basic,linear,dsid_1a40ab782f8b4d80929a9668462912e2,2000,2000,2.379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0079,basic,google_drive,dsid_9776bd75ffbb4ca7b10669be1512daa3,2000,2000,2.624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0080,basic,jira,dsid_ad3961a5bbd846d09d101bfa951ab739,2000,2000,3.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0081,basic,linear,dsid_7a7c04eebb914edab49f734c8e814beb,2000,2000,2.952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0082,basic,fireflies,dsid_045c297ec2ef495abd66cb1f09921fc4,2000,2000,2.662,0,,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17,1,17
qst_0083,basic,jira,dsid_3b9483f629fd423d81ac49a7efff89c9,2000,2000,2.137,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
qst_0084,basic,linear,dsid_7a094ff98c3b4c96a77f3949aedeb749,2000,2000,2.288,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0085,basic,google_drive,dsid_2271ae6c393d409093b11b5a6d5b96ed,2000,2000,3.098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0086,basic,jira,dsid_3f4010bdd3c44b99bb1c1ad2326f5eda,2000,2000,1.921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0087,basic,linear,dsid_d921e1d4282b45a7b4990e2366bedc05,2000,2000,2.936,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0088,basic,slack,dsid_e56d8d932da04590b336dbc60ad25f41,2000,2000,1.428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0089,basic,github,dsid_426ca69578a84dd4af512e5a2782086e,2000,2000,3.302,0,,0,,0,,0,,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41,1,41
qst_0090,basic,hubspot,dsid_4331f37f2b8d4e2cb0f5c5719a033e2f,2000,2000,2.838,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0091,basic,google_drive,dsid_9eda2ec9cbda4188936246d888df1d0b,2000,2000,3.21,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,291,1,291,1,291
qst_0092,basic,slack,dsid_fa7dba9ea186436281a953c7b376bf11,2000,2000,2.4,0,,0,,0,,0,,0,,1,53,1,53,1,53,1,53,1,53,1,53,1,53,1,53,1,53,1,53,1,53,1,53
qst_0093,basic,hubspot,dsid_3bc3170ead63470eaef9a53ca835cec0,2000,2000,3.242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0094,basic,google_drive,dsid_bec90d2205534ca9a016f244e13884e5,2000,2000,3.051,0,,0,,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26,1,26
qst_0095,basic,linear,dsid_5fbf425415da4b7487f0ebbf289a39d6,2000,2000,3.094,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0096,basic,jira,dsid_8138b96e181940418cc5067b2630064e,2000,2000,2.232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0097,basic,github,dsid_6c58ddb8ecf543d89fca8352351dea29,2000,2000,2.802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0098,basic,gmail,dsid_c23a3d9d049d4fe79acf83653b564e0b,2000,2000,3.283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0099,basic,slack,dsid_fa2d9f0bda0e4d6b9174ae6b15f7b37e,2000,2000,2.658,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0100,basic,slack,dsid_94095ba27ce5414db28e599562c12908,2000,2000,2.25,0,,0,,0,,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35
qst_0101,basic,fireflies,dsid_e37e7b7723e34b8087ef051804bfe85e,2000,2000,3.849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0102,basic,confluence,dsid_e044274a9d184700bb8cdf9ddb6d9d02,2000,2000,2.914,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0103,basic,github,dsid_47fa00c889fb4446b0481efea384a7ce,2000,2000,2.272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0104,basic,confluence,dsid_005f7a937cad4b3cbb30d9d93199e22a,2000,2000,2.076,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9
qst_0105,basic,google_drive,dsid_c83811391709468fa9534e6495c205e3,2000,2000,3.807,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0106,basic,linear,dsid_6f69a170c5ab486588cf0bd92e0d53db,2000,2000,2.555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0107,basic,hubspot,dsid_509b34ee9a334f68a693e61dfbf558c4,2000,2000,2.756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0108,basic,slack,dsid_a0e951c043154b07b1b5bd332ac47763,2000,2000,3.335,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,135,1,135,1,135,1,135,1,135,1,135
qst_0109,basic,hubspot,dsid_c9e70cb6eee1471baba213a976a8dd05,2000,2000,1.734,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9
qst_0110,basic,confluence,dsid_2e4183d040b341cf843366e2c15402af,2000,2000,2.311,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,110,1,110,1,110,1,110,1,110,1,110,1,110
qst_0111,basic,linear,dsid_bc47b415ef06458098e0c7a76a7e588c,2000,2000,2.342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0112,basic,google_drive,dsid_d85fcb5f989b44f8a51723a07be79e45,2000,2000,3.097,0,,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,18
qst_0113,basic,linear,dsid_c53d4b486a1e485186a7e4b9d1c3f3ef,2000,2000,2.036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0114,basic,gmail,dsid_ca11386edd264e5c841365093fedf640,2000,2000,3.532,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0115,basic,jira,dsid_b85f3628bbda46558141d3a935bce2c1,2000,2000,3.244,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0116,basic,google_drive,dsid_48b40afb54b84af28b13cebf017c0616,2000,2000,3.743,0,,0,,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25,1,25
qst_0117,basic,confluence,dsid_40e1a761f7644c388c1bccb73d6bd427,2000,2000,2.615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0118,basic,confluence,dsid_9a0982d498384adeb435a2b3938bfd76,2000,2000,3.347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
